序號,原燃物料代碼,原燃物料名稱,
1,000099,其他,1. 000099 其他
2,010001,水稻,2. 010001 水稻
3,010002,陸稻,3. 010002 陸稻
4,010003,大麥,4. 010003 大麥
5,010004,小麥,5. 010004 小麥
6,010005,花豆,6. 010005 花豆
7,010006,紅豆,7. 010006 紅豆
8,010007,粟（小米）,8. 010007 粟（小米）
9,010008,黑麥,9. 010008 黑麥
10,010009,落花生,10. 010009 落花生
11,010010,蜀黍（高粱）,11. 010010 蜀黍（高粱）
12,010011,綠豆,12. 010011 綠豆
13,010012,大豆(黃豆),13. 010012 大豆(黃豆)
14,010013,毛豆,14. 010013 毛豆
15,010014,蕎麥,15. 010014 蕎麥
16,010015,薏仁,16. 010015 薏仁
17,010016,燕麥,17. 010016 燕麥
18,010017,甘藍,18. 010017 甘藍
19,010018,大甲藺,19. 010018 大甲藺
20,010019,芏苡（三角藺）,20. 010019 芏苡（三角藺）
21,010020,洋麻（鐘麻）,21. 010020 洋麻（鐘麻）
22,010021,苧麻,22. 010021 苧麻
23,010022,蛇麻,23. 010022 蛇麻
24,010023,魚藤,24. 010023 魚藤
25,010024,黃麻,25. 010024 黃麻
26,010025,棉花,26. 010025 棉花
27,010026,瓊麻,27. 010026 瓊麻
28,010027,除蟲菊,28. 010027 除蟲菊
29,010028,芝麻,29. 010028 芝麻
30,010029,亞麻,30. 010029 亞麻
31,010030,油菜籽,31. 010030 油菜籽
32,010031,棕櫚,32. 010031 棕櫚
33,010032,蓖麻籽,33. 010032 蓖麻籽
34,010033,胡桃,34. 010033 胡桃
35,010034,咖啡,35. 010034 咖啡
36,010035,可可豆,36. 010035 可可豆
37,010036,仙草,37. 010036 仙草
38,010037,甜菊,38. 010037 甜菊
39,010038,洛神葵,39. 010038 洛神葵
40,010039,茶葉,40. 010039 茶葉
41,010040,菸草,41. 010040 菸草
42,010041,愛玉子,42. 010041 愛玉子
43,010042,製糖用甘蔗,43. 010042 製糖用甘蔗
44,010043,食用甘蔗,44. 010043 食用甘蔗
45,010044,牧草,45. 010044 牧草
46,010045,桑樹,46. 010045 桑樹
47,010046,胡椒,47. 010046 胡椒
48,010047,花椒,48. 010047 花椒
49,010048,芥末籽,49. 010048 芥末籽
50,010049,香茅草,50. 010049 香茅草
51,010050,茴香,51. 010050 茴香
52,010051,薄荷,52. 010051 薄荷
53,010052,大蒜,53. 010052 大蒜
54,010053,山葵,54. 010053 山葵
55,010054,枸杞,55. 010054 枸杞
56,010055,柴胡,56. 010055 柴胡
57,010056,麥門冬,57. 010056 麥門冬
58,010057,黃蓍,58. 010057 黃蓍
59,010058,靈芝,59. 010058 靈芝
60,010059,當歸,60. 010059 當歸
61,010060,綠肥作物,61. 010060 綠肥作物
62,010061,土壤處理及施肥,62. 010061 土壤處理及施肥
63,010062,番椒（包括甜椒及辣椒）,63. 010062 番椒（包括甜椒及辣椒）
64,010063,蔥類,64. 010063 蔥類
65,010064,薑類,65. 010064 薑類
66,010065,洋蔥,66. 010065 洋蔥
67,010066,玉米,67. 010066 玉米
68,010067,甘藷(地瓜),68. 010067 甘藷(地瓜)
69,010068,山藥,69. 010068 山藥
70,010069,葛鬱金（粉薯）,70. 010069 葛鬱金（粉薯）
71,010070,樹薯,71. 010070 樹薯
72,010071,豆薯,72. 010071 豆薯
73,010072,芋類(芋頭),73. 010072 芋類(芋頭)
74,010073,馬鈴薯,74. 010073 馬鈴薯
75,010074,冬瓜,75. 010074 冬瓜
76,010075,瓜子瓜,76. 010075 瓜子瓜
77,010076,西瓜,77. 010076 西瓜
78,010077,南瓜,78. 010077 南瓜
79,010078,胡瓜,79. 010078 胡瓜
80,010079,苦瓜,80. 010079 苦瓜
81,010080,甜瓜,81. 010080 甜瓜
82,010081,越瓜,82. 010081 越瓜
