直接/間接,排放型式,溫室氣體種類,原(燃)物料或產品代碼,原(燃)物料或產品名稱
直接,固定燃燒,CO2,20012,燒製木炭
直接,固定燃燒,CH4,20012,燒製木炭
直接,固定燃燒,N2O,20012,燒製木炭
直接,固定燃燒,CO2,50001,原油
直接,固定燃燒,CH4,50001,原油
直接,固定燃燒,N2O,50001,原油
直接,固定燃燒,CO2,50002,天然氣
直接,固定燃燒,CH4,50002,天然氣
直接,固定燃燒,N2O,50002,天然氣
直接,固定燃燒,CO2,50004,液化天然氣
直接,固定燃燒,CH4,50004,液化天然氣
直接,固定燃燒,N2O,50004,液化天然氣
直接,固定燃燒,CO2,70001,泥煤
直接,固定燃燒,CH4,70001,泥煤
直接,固定燃燒,N2O,70001,泥煤
直接,固定燃燒,CO2,70002,褐煤
直接,固定燃燒,CH4,70002,褐煤
直接,固定燃燒,N2O,70002,褐煤
直接,固定燃燒,CO2,70003,燃料－燃料煤
直接,固定燃燒,CH4,70003,燃料－燃料煤
直接,固定燃燒,N2O,70003,燃料－燃料煤
直接,固定燃燒,CO2,70004,半煙煤
直接,固定燃燒,CH4,70004,半煙煤
直接,固定燃燒,N2O,70004,半煙煤
直接,固定燃燒,CO2,70005,無煙煤
直接,固定燃燒,CH4,70005,無煙煤
直接,固定燃燒,N2O,70005,無煙煤
直接,固定燃燒,CO2,170001,車用汽油
直接,固定燃燒,CH4,170001,車用汽油
直接,固定燃燒,N2O,170001,車用汽油
直接,固定燃燒,CO2,170002,航空汽油
直接,固定燃燒,CH4,170002,航空汽油
直接,固定燃燒,N2O,170002,航空汽油
直接,固定燃燒,CO2,170004,航空燃油
直接,固定燃燒,CH4,170004,航空燃油
直接,固定燃燒,N2O,170004,航空燃油
直接,固定燃燒,CO2,170005,煤油
直接,固定燃燒,CH4,170005,煤油
直接,固定燃燒,N2O,170005,煤油
直接,固定燃燒,CO2,170006,柴油
直接,固定燃燒,CH4,170006,柴油
直接,固定燃燒,N2O,170006,柴油
直接,固定燃燒,CO2,170007,生質柴油
直接,固定燃燒,CH4,170007,生質柴油
直接,固定燃燒,N2O,170007,生質柴油
直接,固定燃燒,CO2,170008,燃料油
直接,固定燃燒,CH4,170008,燃料油
直接,固定燃燒,N2O,170008,燃料油
直接,固定燃燒,CO2,170010,潤滑油
