序號,製程代碼,製程名稱,序號. 製程代碼 製程名稱
1,000000,非製造程序產出類別,1. 000000 非製造程序產出類別
2,000001,鍋爐蒸氣產生程序,2. 000001 鍋爐蒸氣產生程序
3,000002,熱媒加熱程序,3. 000002 熱媒加熱程序
4,000003,鍋爐汽電共生程序,4. 000003 鍋爐汽電共生程序
5,000004,廢氣處理程序,5. 000004 廢氣處理程序
6,000005,廢氣焚化處理程序,6. 000005 廢氣焚化處理程序
7,000006,堆置場作業程序,7. 000006 堆置場作業程序
8,000007,揮發性有機液體儲槽作業程序,8. 000007 揮發性有機液體儲槽作業程序
9,000008,非參與製程生產之有機溶劑作業程序,9. 000008 非參與製程生產之有機溶劑作業程序
10,000999,其他未分類製程,10. 000999 其他未分類製程
11,010001,稻作栽培作業程序,11. 010001 稻作栽培作業程序
12,010002,雜糧栽培作業程序,12. 010002 雜糧栽培作業程序
13,010003,特用作物栽培作業程序,13. 010003 特用作物栽培作業程序
14,010004,蔬菜栽培作業程序,14. 010004 蔬菜栽培作業程序
15,010005,果樹栽培作業程序,15. 010005 果樹栽培作業程序
16,010006,食用菌菇類栽培作業程序,16. 010006 食用菌菇類栽培作業程序
17,010007,花卉栽培作業程序,17. 010007 花卉栽培作業程序
18,010009,其他農作物栽培作業程序,18. 010009 其他農作物栽培作業程序
19,010011,牛飼育作業程序,19. 010011 牛飼育作業程序
20,010012,豬飼育作業程序,20. 010012 豬飼育作業程序
21,010019,其他家畜飼育作業程序,21. 010019 其他家畜飼育作業程序
22,010021,雞飼育作業程序,22. 010021 雞飼育作業程序
23,010022,鴨飼育作業程序,23. 010022 鴨飼育作業程序
24,010023,家禽蛋生產程序,24. 010023 家禽蛋生產程序
25,010029,其他家禽飼育作業程序,25. 010029 其他家禽飼育作業程序
26,010031,作物栽培服務作業程序,26. 010031 作物栽培服務作業程序
27,010032,農產品整理作業程序,27. 010032 農產品整理作業程序
28,010033,畜牧服務作業程序,28. 010033 畜牧服務作業程序
29,010034,苜蓿脫水／牧草處理程序,29. 010034 苜蓿脫水／牧草處理程序
30,010039,其他農事服務作業程序,30. 010039 其他農事服務作業程序
31,020001,造林作業程序,31. 020001 造林作業程序
32,020002,伐木作業程序,32. 020002 伐木作業程序
33,030001,野生物採捕作業程序,33. 030001 野生物採捕作業程序
34,030002,漁撈作業程序,34. 030002 漁撈作業程序
35,030003,水產養殖作業程序,35. 030003 水產養殖作業程序
36,050001,原油生產(採取)作業程序,36. 050001 原油生產(採取)作業程序
37,050002,天然氣生產(採取)作業程序,37. 050002 天然氣生產(採取)作業程序
38,060001,砂石採取作業程序,38. 060001 砂石採取作業程序
39,060002,黏土採取作業程序,39. 060002 黏土採取作業程序
40,070001,金屬礦採集／處理程序,40. 070001 金屬礦採集／處理程序
41,070002,磷酸鹽礦採集／處理程序,41. 070002 磷酸鹽礦採集／處理程序
42,070003,鹽礦採集／處理程序,42. 070003 鹽礦採集／處理程序
43,070004,碳酸鎂採集／處理程序,43. 070004 碳酸鎂採集／處理程序
44,070005,矽藻土採集／處理程序,44. 070005 矽藻土採集／處理程序
45,070006,石綿礦採集／處理程序,45. 070006 石綿礦採集／處理程序
46,070007,蛭石採集處理程序,46. 070007 蛭石採集處理程序
47,070099,其他礦業及土石採取作業程序,47. 070099 其他礦業及土石採取作業程序
48,080001,冷凍食品製造程序,48. 080001 冷凍食品製造程序
49,080002,肉類燻製食品製造程序,49. 080002 肉類燻製食品製造程序
50,080009,其他肉品製造程序,50. 080009 其他肉品製造程序
51,080012,漁產品製造程序,51. 080012 漁產品製造程序
52,080019,其他水產品製造程序,52. 080019 其他水產品製造程序
53,080022,花生處理程序,53. 080022 花生處理程序
54,080023,種子處理程序,54. 080023 種子處理程序
55,080024,香菇食品製造程序,55. 080024 香菇食品製造程序
56,080029,其他蔬果製品製造程序,56. 080029 其他蔬果製品製造程序
57,080031,動物油處理製造程序,57. 080031 動物油處理製造程序
58,080032,植物油處理製造程序,58. 080032 植物油處理製造程序
59,080033,乳品製造程序,59. 080033 乳品製造程序
60,080034,穀粒起卸程序,60. 080034 穀粒起卸程序
61,080035,碾穀處理作業程序,61. 080035 碾穀處理作業程序
62,080036,磨粉程序,62. 080036 磨粉程序
63,080037,磨粉製品製造程序,63. 080037 磨粉製品製造程序
64,080038,澱粉製造程序,64. 080038 澱粉製造程序
65,080039,澱粉製品製造程序,65. 080039 澱粉製品製造程序
66,080040,飼料製造程序,66. 080040 飼料製造程序
67,080041,動物飼料製造(配製)程序,67. 080041 動物飼料製造(配製)程序
68,080042,麵食(餅乾)烘焙／製造程序,68. 080042 麵食(餅乾)烘焙／製造程序
69,080044,蔗糖製造程序,69. 080044 蔗糖製造程序
70,080045,砂糖製造(精煉)程序,70. 080045 砂糖製造(精煉)程序
71,080046,糖果製造程序,71. 080046 糖果製造程序
72,080047,茶葉製造程序,72. 080047 茶葉製造程序
73,080048,咖啡製品製造程序,73. 080048 咖啡製品製造程序
74,080049,味精製造程序,74. 080049 味精製造程序
75,080050,調味品製造程序,75. 080050 調味品製造程序
76,080051,調理食品製造程序,76. 080051 調理食品製造程序
77,080052,醃漬食品製造程序,77. 080052 醃漬食品製造程序
78,080053,脫水食品製造程序,78. 080053 脫水食品製造程序
79,080054,罐頭食品製造程序,79. 080054 罐頭食品製造程序
80,080055,屠宰作業程序,80. 080055 屠宰作業程序
81,080999,其他食品製造程序,81. 080999 其他食品製造程序
82,090001,啤酒製造程序,82. 090001 啤酒製造程序
83,090002,醱酵／威士忌釀製程序,83. 090002 醱酵／威士忌釀製程序
84,090003,醱酵／葡萄酒釀製程序,84. 090003 醱酵／葡萄酒釀製程序
