序號,設備代碼,設備名稱,
1,0000,粉煤「乾底鍋爐」,1. 0000 粉煤「乾底鍋爐」
2,0001,粉煤「濕底鍋爐」,2. 0001 粉煤「濕底鍋爐」
3,0002,旋風式鍋爐,3. 0002 旋風式鍋爐
4,0003,散佈式鍋爐,4. 0003 散佈式鍋爐
5,0004,移動床鍋爐,5. 0004 移動床鍋爐
6,0005,振動床鍋爐,6. 0005 振動床鍋爐
7,0006,氣泡流體床鍋爐　,7. 0006 氣泡流體床鍋爐　
8,0007,循環流體床鍋爐　　,8. 0007 循環流體床鍋爐　　
9,0010,燃油鍋爐　　　　　　,9. 0010 燃油鍋爐　　　　　　
10,0020,燃氣鍋爐　　　　　     　,10. 0020 燃氣鍋爐　　　　　     　
11,0099,其他鍋爐　　    　,11. 0099 其他鍋爐　　    　
12,0100,開放循環型氣渦輪機,12. 0100 開放循環型氣渦輪機
13,0101,封閉循環型氣渦輪機,13. 0101 封閉循環型氣渦輪機
14,0102,半封閉循環型氣渦輪機,14. 0102 半封閉循環型氣渦輪機
15,0103,結合型氣渦輪機,15. 0103 結合型氣渦輪機
16,0199,其他氣渦輪機,16. 0199 其他氣渦輪機
17,0200,汽油引擎  　　　,17. 0200 汽油引擎  　　　
18,0201,柴油引擎  　　　,18. 0201 柴油引擎  　　　
19,0298,發電機,19. 0298 發電機
20,0299,其他發電引擎,20. 0299 其他發電引擎
21,0300,機械式焚化爐,21. 0300 機械式焚化爐
22,0301,模具式焚化爐,22. 0301 模具式焚化爐
23,0302,旋轉窯式焚化爐   　,23. 0302 旋轉窯式焚化爐   　
24,0303,固定床式焚化爐,24. 0303 固定床式焚化爐
25,0304,多層床式焚化爐,25. 0304 多層床式焚化爐
26,0305,流體化床式焚化爐,26. 0305 流體化床式焚化爐
27,0306,液體噴注式焚化爐,27. 0306 液體噴注式焚化爐
28,0307,噴燒式焚化爐,28. 0307 噴燒式焚化爐
29,0308,熱解式焚化爐,29. 0308 熱解式焚化爐
30,0399,其他焚化爐,30. 0399 其他焚化爐
31,0999,其他公用製程設施,31. 0999 其他公用製程設施
32,1000,電弧爐,32. 1000 電弧爐
33,1001,誘導爐,33. 1001 誘導爐
34,1002,電阻爐,34. 1002 電阻爐
35,1009,其他電氣爐,35. 1009 其他電氣爐
36,1010,平爐型反射爐　　　　　　　,36. 1010 平爐型反射爐　　　　　　　
37,1011,圓柱型反射爐,37. 1011 圓柱型反射爐
38,1012,傾斜式反射爐,38. 1012 傾斜式反射爐
